שנה,חודש,סמל_יישוב,יישוב,כביש,קוד_רחוב,lat,lon,בגשם_או_רטוב,מזג_אוויר,פני_כביש,חומרה
2020,3,6600,חולון,,725,32.02334,34.76333,1,גשום,רטוב ממים,קלה
2020,3,3000,ירושלים,,5405,31.75404,35.23203,1,גשום,רטוב ממים,קלה
2020,10,4000,חיפה,,370,32.8192,34.99928,0,בהיר,יבש,קלה
2020,9,,,4,,32.50082,34.92813,0,לא ידוע,לא ידוע,קשה
2020,2,8600,רמת גן,,1011,32.0744,34.82502,0,בהיר,יבש,קלה
2020,2,2016,רוויה,,9000,32.44874,35.47341,0,בהיר,יבש,קשה
2020,2,,,5714,,32.34613,35.01197,0,בהיר,יבש,קלה
2020,7,2710,אום אל-פחם,,6601,32.50658,35.15756,0,בהיר,יבש,קשה
2020,2,3000,ירושלים,,4628,31.82869,35.22819,0,בהיר,יבש,קלה
2020,3,5000,תל אביב - יפו,,126,32.11271,34.79256,0,בהיר,יבש,קלה
2020,5,,,402,,32.14707,34.8946,0,בהיר,יבש,קשה
2020,8,7900,פתח תקווה,,107,32.09355,34.89025,0,בהיר,יבש,קלה
2020,2,,,65,,32.77309,35.40729,0,בהיר,יבש,קלה
2020,1,,,2422,,31.43093,34.54184,1,בהיר,רטוב ממים,קלה
2020,6,,,2357,,31.24358,34.7191,0,בהיר,יבש,קשה
2020,7,,,6,,31.62492,34.81504,0,בהיר,יבש,קשה
2020,10,5000,תל אביב - יפו,,2378,32.05414,34.77882,0,בהיר,יבש,קלה
2020,7,,,20,,32.07277,34.79355,0,בהיר,יבש,קלה
2020,5,7300,נצרת,,765,32.69735,35.29623,0,בהיר,יבש,קלה
2020,8,3000,ירושלים,,4276,31.80017,35.23058,0,בהיר,יבש,קלה
2020,9,6300,גבעתיים,,133,32.0802,34.79943,0,בהיר,יבש,קלה
2020,11,,,4,,33.02435,35.10368,0,בהיר,יבש,קלה
2020,3,3000,ירושלים,,4762,31.808,35.23562,0,בהיר,יבש,קלה
2020,8,,,505,,32.1194,35.29615,0,בהיר,יבש,קלה
2020,2,,,85,,32.92992,35.33787,0,בהיר,יבש,קלה
2020,2,7100,אשקלון,,375,31.67011,34.57013,0,בהיר,יבש,קלה
2020,2,3000,ירושלים,,4837,31.82649,35.23803,1,גשום,רטוב ממים,קלה
2020,6,6100,בני ברק,,957,32.07983,34.83375,0,בהיר,יבש,קלה
2020,2,2500,נשר,,138,32.76831,35.05105,0,בהיר,יבש,קשה
2020,8,9000,באר שבע,,276,31.26613,34.79926,0,בהיר,יבש,קלה
2020,2,5000,תל אביב - יפו,,1760,32.04737,34.74948,0,בהיר,יבש,קלה
2020,11,6200,בת ים,,311,32.00601,34.74276,0,בהיר,יבש,קלה
2020,6,,,854,,32.98932,35.27886,0,בהיר,יבש,קלה
2020,1,7400,נתניה,,504,32.31828,34.85385,0,בהיר,יבש,קלה
2020,5,2640,ראש העין,,600,32.08191,34.96575,0,בהיר,יבש,קלה
2020,11,2720,טירה,,,32.2338,34.95545,0,לא ידוע,לא ידוע,קלה
2020,8,7100,אשקלון,,861,31.68993,34.575,0,בהיר,יבש,קלה
2020,7,6000,באקה אל-גרביה,,,32.41993,35.0415,0,בהיר,יבש,קלה
2020,10,5000,תל אביב - יפו,,1269,32.06202,34.78051,0,בהיר,יבש,קשה
2020,7,,,1,,31.82627,35.00259,0,בהיר,יבש,קלה
2020,10,6600,חולון,,111,32.01681,34.80153,0,בהיר,יבש,קלה
2020,5,,,784,,32.88981,35.26033,1,גשום,רטוב ממים,קלה
2020,7,,,44,,32.00127,34.82113,0,בהיר,יבש,קלה
2020,6,3000,ירושלים,,4633,31.79896,35.24358,0,בהיר,לא ידוע,קלה
2020,6,,,356,,31.66799,35.2306,0,בהיר,יבש,קלה
2020,9,6900,כפר סבא,,312,32.18053,34.91292,0,בהיר,יבש,קלה
2020,10,975,זרזיר,,,32.72489,35.22244,0,לא ידוע,לא ידוע,קלה
2020,6,,,466,,31.90996,35.24556,0,בהיר,יבש,קשה
2020,1,3000,ירושלים,,4633,31.79896,35.24358,0,בהיר,יבש,קלה
2020,2,,,310,,31.37242,34.79377,0,בהיר,יבש,קלה
2020,6,448,בני עטרות,,,32.02395,34.91418,0,לא ידוע,לא ידוע,קשה
2020,11,70,אשדוד,,273,31.80955,34.66571,0,בהיר,יבש,קלה
2020,2,8200,קרית מוצקין,,102,32.83267,35.07263,0,בהיר,יבש,קשה
2020,9,9000,באר שבע,,871,31.22518,34.79821,0,בהיר,יבש,קטלנית
2020,7,9100,נהריה,,402,32.99972,35.09115,0,בהיר,יבש,קלה
2020,1,8600,רמת גן,,1801,32.05433,34.81349,0,בהיר,יבש,קלה
2020,5,8300,ראשון לציון,,925,31.98608,34.76333,0,בהיר,יבש,קשה
2020,12,6500,חדרה,,602,32.43503,34.92485,0,בהיר,יבש,קלה
2020,3,9100,נהריה,,417,33.00873,35.10011,0,בהיר,יבש,קלה
2020,1,6700,טבריה,,234,32.78739,35.53501,0,בהיר,יבש,קלה
2020,4,1034,קרית מלאכי,,103,31.73108,34.7376,0,בהיר,יבש,קשה
2020,11,4000,חיפה,,191,32.79317,35.0242,0,בהיר,יבש,קלה
2020,12,,,40,,31.26134,34.83235,0,בהיר,יבש,קלה
2020,1,4100,קצרין,,240,32.99059,35.70764,1,גשום,רטוב ממים,קלה
2020,10,8600,רמת גן,,108,32.09073,34.81176,0,בהיר,יבש,קלה
2020,10,2720,טירה,,,32.2338,34.95545,0,בהיר,יבש,קשה
2020,2,,,8510,,32.94644,35.08778,0,בהיר,יבש,קשה
2020,2,7200,נס ציונה,,103,31.92069,34.79821,1,גשום,רטוב ממים,קלה
2020,4,5000,תל אביב - יפו,,2562,32.06489,34.78884,0,בהיר,יבש,קלה
2020,7,,,35,,31.5915,34.82813,0,בהיר,יבש,קלה
2020,9,4000,חיפה,,859,32.81151,34.99859,0,בהיר,יבש,קלה
2020,12,,,65,,32.45225,34.97112,0,בהיר,יבש,קלה
2020,5,,,4,,31.72179,34.63409,0,בהיר,יבש,קטלנית
2020,8,8900,טמרה,,,32.85417,35.1896,0,בהיר,יבש,קלה
2020,8,8600,רמת גן,,1613,32.0662,34.83318,0,בהיר,יבש,קלה
2020,8,6300,גבעתיים,,308,32.07307,34.81279,0,בהיר,יבש,קלה
2020,7,,,334,,31.49154,34.70049,0,בהיר,יבש,קלה
2020,6,8400,רחובות,,463,31.90356,34.81217,0,בהיר,יבש,קלה
2020,6,2710,אום אל-פחם,,,32.52044,35.15173,0,בהיר,יבש,קשה
2020,8,8400,רחובות,,585,31.90545,34.82455,0,בהיר,יבש,קשה
2020,2,8300,ראשון לציון,,591,31.95731,34.81418,0,לא ידוע,יבש,קלה
2020,3,3000,ירושלים,,801,31.777,35.21532,0,בהיר,יבש,קלה
2020,5,,,3,,31.72738,34.74951,0,בהיר,יבש,קלה
2020,4,,,4613,,32.02406,34.95075,0,בהיר,יבש,קלה
2020,7,5000,תל אביב - יפו,,1103,32.06358,34.77297,0,בהיר,יבש,קלה
2020,3,,,7955,,32.84068,35.26516,0,בהיר,יבש,קלה
2020,1,4000,חיפה,,195,32.8151,35.07454,0,בהיר,יבש,קטלנית
2020,9,2500,נשר,,188,32.77328,35.03157,0,בהיר,יבש,קשה
2020,12,4000,חיפה,,1015,32.79483,35.02137,1,גשום,רטוב ממים,קלה
2020,2,,,70,,32.76212,35.08861,0,בהיר,יבש,קלה
2020,3,31,אופקים,,110,31.31794,34.61446,0,בהיר,יבש,קלה
2020,12,,,4,,32.9032,35.09022,0,בהיר,יבש,קטלנית
2020,3,3000,ירושלים,,809,31.77452,35.214,0,בהיר,יבש,קלה
2020,11,7800,פרדס חנה-כרכור,,101,32.47651,34.96995,0,בהיר,יבש,קלה
2020,5,,,8533,,32.95403,35.18842,0,בהיר,חול או חצץ על הכביש,קלה
2020,5,8600,רמת גן,,307,32.09633,34.81789,0,בהיר,יבש,קלה
2020,9,2640,ראש העין,,,32.09448,34.95866,0,בהיר,יבש,קלה
2020,5,4000,חיפה,,1059,32.77862,35.00522,0,בהיר,יבש,קלה
2020,4,,,40,,32.15094,34.92085,0,לא ידוע,לא ידוע,קשה
2020,8,,,784,,32.91869,35.28035,0,בהיר,יבש,קלה
2020,7,9000,באר שבע,,845,31.24617,34.80874,0,לא ידוע,לא ידוע,קשה
2020,5,,,8533,,32.9512,35.17664,0,בהיר,חול או חצץ על הכביש,קלה
2020,5,3000,ירושלים,,4223,31.75412,35.23995,0,בהיר,יבש,קלה
2020,10,,,4,,31.75911,34.66658,0,לא ידוע,לא ידוע,קשה
2020,10,998,ביר אל-מכסור,,,32.78238,35.22215,0,בהיר,יבש,קשה
2020,6,6600,חולון,,415,32.01991,34.77878,0,בהיר,יבש,קלה
2020,6,,,65,,32.69015,35.419,0,בהיר,יבש,קשה
2020,2,3797,מודיעין עילית,,214,31.92795,35.04001,0,בהיר,יבש,קלה
2020,7,3000,ירושלים,,1308,31.75297,35.20014,0,בהיר,יבש,קלה
2020,3,,,89,,33.0162,35.13704,0,בהיר,יבש,קשה
2020,9,,,44,,31.86449,34.89375,0,בהיר,יבש,קלה
2020,6,,,77,,32.76946,35.29311,0,בהיר,יבש,קלה
2020,12,3000,ירושלים,,4753,31.82268,35.23772,0,בהיר,יבש,קלה
2020,2,,,4,,32.07952,34.84464,0,בהיר,יבש,קלה
2020,11,6600,חולון,,316,32.00183,34.80309,0,בהיר,יבש,קלה
2020,7,831,ירוחם,,138,30.98643,34.93238,0,בהיר,יבש,קשה
2020,12,4000,חיפה,,526,32.83203,34.9755,0,בהיר,יבש,קלה
2020,6,3000,ירושלים,,1522,31.77522,35.21773,0,בהיר,יבש,קלה
2020,6,,,6531,,32.53572,34.91742,0,בהיר,יבש,קלה
2020,5,5000,תל אביב - יפו,,1271,32.0618,34.77312,0,בהיר,יבש,קלה
2020,8,1200,מודיעין-מכבים-רעות,,182,31.90628,35.01653,0,בהיר,יבש,קלה
2020,3,6600,חולון,,304,32.0172,34.77971,0,בהיר,יבש,קלה
2020,12,,,85,,32.92439,35.3004,0,בהיר,יבש,קלה
2020,7,,,31,,31.26614,34.97189,0,בהיר,יבש,קשה
2020,12,4000,חיפה,,195,32.80576,35.05618,0,בהיר,יבש,קלה
2020,10,,,232,,31.59655,34.64791,0,בהיר,יבש,קטלנית
2020,3,3000,ירושלים,,4786,31.81918,35.23427,1,גשום,רטוב ממים,קלה
2020,1,2600,אילת,,177,29.56055,34.9411,0,בהיר,יבש,קלה
2020,11,7400,נתניה,,1260,32.3061,34.86968,0,בהיר,יבש,קשה
2020,8,6600,חולון,,111,32.01032,34.7948,0,בהיר,יבש,קלה
2020,8,6600,חולון,,406,32.02309,34.78154,0,בהיר,יבש,קלה
2020,4,8600,רמת גן,,6585,32.05266,34.84685,0,לא ידוע,לא ידוע,קשה
2020,10,1061,נוף הגליל,,302,32.7557,35.32039,0,בהיר,יבש,קלה
2020,7,,,34,,31.48025,34.59146,0,בהיר,יבש,קלה
2020,5,,,7,,31.80871,34.75481,0,בהיר,יבש,קלה
2020,11,6600,חולון,,911,32.02183,34.76519,0,בהיר,יבש,קלה
2020,5,,,754,,32.74074,35.33443,0,בהיר,יבש,קלה
2020,6,2600,אילת,,115,29.56029,34.95812,0,בהיר,יבש,קלה
2020,3,1327,מעלה עירון,,,32.55155,35.15579,0,בהיר,יבש,קשה
2020,11,1309,אלעד,,203,32.04883,34.95811,0,בהיר,יבש,קלה
2020,9,7600,עכו,,185,32.93309,35.08582,0,בהיר,יבש,קלה
2020,7,3000,ירושלים,,4342,31.83997,35.24608,0,בהיר,יבש,קלה
2020,3,9000,באר שבע,,311,31.24775,34.78342,0,בהיר,יבש,קלה
2020,11,5000,תל אביב - יפו,,265,32.12249,34.79758,0,בהיר,יבש,קלה
2020,7,,,25,,31.37282,34.61991,0,בהיר,יבש,קשה
2020,8,2660,יבנה,,388,31.86435,34.73491,0,בהיר,יבש,קלה
2020,10,6600,חולון,,969,32.01167,34.78,0,בהיר,יבש,קלה
2020,4,,,672,,32.64326,35.0574,0,בהיר,יבש,קלה
2020,12,6200,בת ים,,426,32.02589,34.75025,0,בהיר,יבש,קלה
2020,3,6600,חולון,,117,32.02079,34.79925,0,בהיר,יבש,קלה
2020,3,1161,רהט,,,31.39048,34.75464,0,לא ידוע,לא ידוע,קשה
2020,6,7400,נתניה,,418,32.32882,34.85651,0,בהיר,יבש,קלה
2020,1,6200,בת ים,,518,32.0152,34.75926,0,בהיר,יבש,קלה
2020,3,6100,בני ברק,,401,32.09287,34.82232,0,לא ידוע,לא ידוע,קשה
2020,5,3000,ירושלים,,1121,31.77113,35.18924,0,בהיר,יבש,קשה
2020,10,6600,חולון,,1001,32.01047,34.77355,0,בהיר,יבש,קלה
2020,9,5000,תל אביב - יפו,,2535,32.05494,34.80013,0,בהיר,יבש,קלה
2020,7,7400,נתניה,,112,32.32485,34.86918,0,בהיר,יבש,קלה
2020,6,3000,ירושלים,,1435,31.74288,35.19756,0,בהיר,יבש,קלה
2020,10,8300,ראשון לציון,,912,31.9972,34.73766,0,בהיר,יבש,קלה
2020,5,7300,נצרת,,887,32.71811,35.29593,0,בהיר,יבש,קלה
2020,1,6300,גבעתיים,,501,32.07185,34.80862,0,בהיר,יבש,קלה
2020,11,70,אשדוד,,160,31.80149,34.65254,0,בהיר,יבש,קלה
2020,8,,,5066,,32.11873,35.1337,0,בהיר,יבש,קלה
2020,9,,,3157,,31.6517,35.14215,0,בהיר,יבש,קשה
2020,9,3000,ירושלים,,5127,31.82909,35.22835,0,בהיר,יבש,קשה
2020,6,,,4,,32.08223,34.84518,0,בהיר,יבש,קשה
2020,10,3780,ביתר עילית,,111,31.69803,35.11861,0,בהיר,יבש,קלה
2020,8,3000,ירושלים,,1744,31.7446,35.21599,0,בהיר,יבש,קלה
2020,12,7900,פתח תקווה,,304,32.08367,34.89724,1,גשום,רטוב ממים,קלה
2020,3,7900,פתח תקווה,,424,32.07333,34.90362,0,בהיר,יבש,קלה
2020,7,6400,הרצליה,,549,32.17306,34.8519,0,בהיר,יבש,קלה
2020,12,5000,תל אביב - יפו,,404,32.09436,34.77667,0,לא ידוע,לא ידוע,קשה
2020,1,6100,בני ברק,,830,32.08127,34.8347,0,בהיר,יבש,קלה
2020,12,,,66,,32.57193,35.19251,0,לא ידוע,לא ידוע,קלה
2020,7,3000,ירושלים,,4715,31.79804,35.247,0,בהיר,יבש,קלה
2020,10,3000,ירושלים,,1864,31.7446,35.21599,0,בהיר,יבש,קשה
2020,12,,,20,,31.95592,34.75853,0,בהיר,יבש,קלה
2020,10,6600,חולון,,714,32.01826,34.77444,0,בהיר,יבש,קלה
2020,9,5000,תל אביב - יפו,,1994,32.03613,34.74869,0,בהיר,יבש,קלה
2020,2,6900,כפר סבא,,105,32.17126,34.92414,0,בהיר,יבש,קלה
2020,8,,,70,,32.82088,35.15089,0,בהיר,יבש,קלה
2020,2,3000,ירושלים,,1323,31.76089,35.21458,0,בהיר,יבש,קלה
2020,6,,,444,,32.15455,34.94771,0,בהיר,יבש,קלה
2020,9,8900,טמרה,,,32.85417,35.1896,0,בהיר,יבש,קלה
2020,5,,,5505,,32.20748,34.95561,0,בהיר,יבש,קשה
2020,10,3000,ירושלים,,4113,31.79953,35.23272,0,בהיר,יבש,קלה
2020,7,,,4,,32.85522,35.0941,0,בהיר,יבש,קשה
2020,10,4000,חיפה,,199,32.81615,35.0616,0,בהיר,יבש,קלה
2020,5,8400,רחובות,,363,31.89333,34.80185,0,בהיר,יבש,קלה
2020,5,,,672,,32.63638,35.06505,0,בהיר,יבש,קלה
2020,10,2610,בית שמש,,301,31.73183,34.9585,0,בהיר,יבש,קלה
2020,6,6600,חולון,,107,32.00905,34.79974,0,בהיר,יבש,קלה
2020,10,5000,תל אביב - יפו,,1439,32.05721,34.75991,0,לא ידוע,לא ידוע,קלה
2020,4,,,6,,31.62583,34.81511,0,בהיר,יבש,קטלנית
2020,6,5000,תל אביב - יפו,,272,32.10601,34.82086,0,בהיר,יבש,קלה
2020,9,6200,בת ים,,212,32.01756,34.73871,0,בהיר,יבש,קלה
2020,4,4000,חיפה,,859,32.81151,34.99859,1,גשום,רטוב ממים,קלה
2020,8,1200,מודיעין-מכבים-רעות,,630,31.8813,35.01676,0,בהיר,יבש,קלה
2020,8,6400,הרצליה,,547,32.16196,34.83755,0,בהיר,יבש,קלה
2020,1,,,653,,32.51483,34.96653,1,לא ידוע,רטוב ממים,קלה
2020,10,1326,בסמה,,,32.53031,35.10459,0,בהיר,יבש,קלה
2020,12,6200,בת ים,,503,32.02033,34.7589,0,בהיר,יבש,קלה
2020,4,8600,רמת גן,,108,32.0854,34.8043,0,בהיר,יבש,קלה
2020,1,,,8900,,32.9635,35.53655,1,ערפילי,רטוב ממים,קלה
2020,5,3000,ירושלים,,1839,31.75012,35.20697,0,בהיר,יבש,קלה
2020,6,2650,רמת השרון,,155,32.13657,34.844,0,בהיר,יבש,קשה
2020,12,,,4,,32.88775,35.09497,0,לא ידוע,לא ידוע,קלה
2020,4,5000,תל אביב - יפו,,1601,32.05541,34.76501,0,בהיר,יבש,קלה
2020,3,,,4,,33.06829,35.11198,0,בהיר,יבש,קלה
2020,7,2052,אביטל,,,32.5575,35.30711,0,בהיר,יבש,קלה
2020,10,5000,תל אביב - יפו,,2363,32.05129,34.77517,0,בהיר,יבש,קלה
2020,8,5000,תל אביב - יפו,,361,32.10765,34.8346,0,בהיר,יבש,קשה
2020,1,4000,חיפה,,512,32.82215,34.98082,1,לא ידוע,רטוב ממים,קלה
2020,5,5000,תל אביב - יפו,,914,32.09104,34.79059,0,בהיר,יבש,קלה
2020,3,,,2,,32.51553,34.91256,0,בהיר,יבש,קלה
2020,10,2650,רמת השרון,,206,32.14602,34.838,0,בהיר,יבש,קלה
2020,7,2640,ראש העין,,121,32.09158,34.95087,0,בהיר,יבש,קלה
2020,11,2660,יבנה,,174,31.87376,34.74629,0,לא ידוע,לא ידוע,קשה
2020,10,,,574,,32.44376,35.022,0,בהיר,יבש,קלה
2020,4,767,פורת,,102,32.2714,34.95384,0,בהיר,יבש,קלה
2020,9,3000,ירושלים,,929,31.79267,35.18998,0,בהיר,יבש,קלה
2020,12,6600,חולון,,202,32.01697,34.79767,1,גשום,רטוב ממים,קלה
2020,8,7400,נתניה,,930,32.29963,34.85855,0,לא ידוע,לא ידוע,קשה
2020,7,,,4,,31.60243,34.57162,0,בהיר,יבש,קלה
2020,8,8600,רמת גן,,3112,32.04663,34.83484,0,בהיר,יבש,קטלנית
2020,11,3000,ירושלים,,1886,31.73819,35.21243,0,בהיר,יבש,קלה
2020,2,,,5503,,32.19773,34.92246,1,בהיר,רטוב ממים,קלה
2020,6,7900,פתח תקווה,,144,32.10698,34.88875,0,בהיר,יבש,קלה
2020,6,,,721,,32.71124,34.95184,0,בהיר,יבש,קלה
2020,11,8300,ראשון לציון,,134,31.99283,34.76717,0,בהיר,יבש,קשה
2020,8,3000,ירושלים,,1128,31.78241,35.19679,0,בהיר,יבש,קלה
2020,5,5000,תל אביב - יפו,,180,32.09985,34.79342,0,בהיר,יבש,קשה
2020,10,5000,תל אביב - יפו,,2570,32.0778,34.79878,0,בהיר,יבש,קלה
2020,5,3000,ירושלים,,1435,31.74288,35.19756,0,בהיר,יבש,קלה
2020,2,,,57,,32.31335,35.01152,0,בהיר,יבש,קלה
2020,6,,,20,,32.08973,34.80085,0,בהיר,יבש,קלה
2020,8,5000,תל אביב - יפו,,1202,32.07233,34.7676,0,בהיר,יבש,קשה
2020,12,1139,כרמיאל,,,32.91101,35.29165,0,לא ידוע,לא ידוע,קלה
2020,11,,,471,,32.06839,34.85678,0,בהיר,יבש,קלה
2020,12,,,89,,33.02454,35.25427,0,בהיר,יבש,קלה
2020,12,5000,תל אביב - יפו,,1986,32.04967,34.75947,0,בהיר,יבש,קלה
2020,1,,,25,,31.20138,34.91517,0,לא ידוע,לא ידוע,קלה
2020,3,,,3711,,31.75118,34.6647,0,בהיר,יבש,קלה
2020,8,,,20,,32.18821,34.82908,0,בהיר,יבש,קשה
2020,12,3000,ירושלים,,1331,31.75999,35.2085,0,בהיר,יבש,קלה
2020,4,9700,הוד השרון,,111,32.15567,34.89167,0,בהיר,יבש,קלה
2020,2,1061,נוף הגליל,,159,32.7079,35.33411,1,גשום,רטוב ממים,קלה
2020,12,,,65,,32.55119,35.16449,0,בהיר,יבש,קלה
2020,9,6600,חולון,,117,32.02438,34.79536,0,בהיר,יבש,קלה
2020,11,2620,קרית אונו,,127,32.06066,34.86167,0,בהיר,יבש,קלה
2020,7,1292,ג'דיידה-מכר,,,32.92959,35.14682,1,בהיר,רטוב ממים,קלה
2020,8,654,כפר קרע,,,32.50539,35.05082,0,בהיר,יבש,קלה
2020,3,,,65,,32.44832,34.95939,0,לא ידוע,לא ידוע,קשה
2020,11,5000,תל אביב - יפו,,2216,32.05688,34.77296,0,בהיר,יבש,קשה
2020,8,5000,תל אביב - יפו,,1555,32.07173,34.7899,0,בהיר,יבש,קשה
2020,2,70,אשדוד,,335,31.78026,34.65338,0,בהיר,יבש,קלה
2020,9,538,שעב,,,32.89025,35.23523,0,בהיר,יבש,קלה
2020,5,,,20,,32.07278,34.79326,0,בהיר,יבש,קלה
2020,3,9500,קרית ביאליק,,115,32.83467,35.08811,0,בהיר,יבש,קלה
2020,11,5000,תל אביב - יפו,,1555,32.07262,34.79021,0,בהיר,יבש,קלה
2020,11,7400,נתניה,,418,32.3271,34.86149,0,בהיר,יבש,קלה
2020,9,,,264,,31.38305,34.72057,0,בהיר,יבש,קלה
2020,12,5000,תל אביב - יפו,,2524,32.06899,34.79344,0,בהיר,יבש,קטלנית
2020,12,,,353,,31.67208,34.9354,0,בהיר,יבש,קשה
2020,12,70,אשדוד,,279,31.7957,34.64715,0,בהיר,יבש,קלה
2020,6,3000,ירושלים,,4630,31.83458,35.22687,0,בהיר,יבש,קלה
2020,5,,,5066,,32.1601,35.12648,0,בהיר,יבש,קלה
2020,1,,,4,,32.50082,34.92813,0,בהיר,יבש,קשה
2020,8,8600,רמת גן,,205,32.08337,34.8057,0,בהיר,יבש,קלה
2020,3,,,4,,32.82412,35.07964,0,בהיר,יבש,קשה
2020,8,70,אשדוד,,580,31.78459,34.65051,0,בהיר,יבש,קלה
2020,12,,,75,,32.69236,35.25166,0,בהיר,יבש,קלה
2020,7,5000,תל אביב - יפו,,1994,32.03792,34.75027,0,לא ידוע,לא ידוע,קשה
2020,10,5000,תל אביב - יפו,,361,32.11,34.83734,0,בהיר,יבש,קלה
2020,6,516,מג'ד אל-כרום,,,32.92105,35.25451,0,בהיר,יבש,קשה
2020,5,502,ירכא,,353,32.95836,35.18183,0,בהיר,יבש,קלה
2020,2,6600,חולון,,113,32.01223,34.80637,0,בהיר,יבש,קלה
2020,1,6600,חולון,,415,32.02254,34.77897,0,בהיר,יבש,קלה
2020,6,7900,פתח תקווה,,919,32.08335,34.8783,0,בהיר,יבש,קלה
2020,6,,,781,,32.81939,35.11436,0,בהיר,יבש,קלה
2020,7,8600,רמת גן,,1742,32.05541,34.83467,0,בהיר,יבש,קלה
2020,10,6600,חולון,,911,32.01863,34.76488,0,בהיר,יבש,קלה
2020,10,,,446,,31.91622,35.02747,0,בהיר,יבש,קלה
2020,5,,,8655,,32.9755,35.31436,0,בהיר,יבש,קלה
2020,12,8600,רמת גן,,1742,32.05541,34.83467,0,בהיר,יבש,קלה
2020,5,,,386,,31.75539,35.11472,0,לא ידוע,לא ידוע,קלה
2020,12,,,431,,31.95436,34.77939,0,בהיר,יבש,קלה
2020,7,6700,טבריה,,,32.78759,35.52379,0,בהיר,יבש,קלה
2020,2,8400,רחובות,,593,31.88889,34.82601,0,בהיר,יבש,קלה
2020,4,2720,טירה,,130,32.23082,34.94522,0,בהיר,יבש,קלה
2020,3,9600,קרית ים,,161,32.86098,35.0832,0,בהיר,יבש,קלה
2020,2,537,פוריידיס,,,32.59798,34.95241,0,בהיר,יבש,קלה
2020,11,504,כאבול,,,32.86995,35.20872,0,בהיר,יבש,קלה
2020,10,6200,בת ים,,426,32.02532,34.75018,0,בהיר,יבש,קלה
2020,10,3000,ירושלים,,4762,31.8271,35.2361,0,לא ידוע,לא ידוע,קלה
2020,8,9000,באר שבע,,507,31.253,34.80247,0,בהיר,יבש,קלה
2020,6,9000,באר שבע,,1089,31.23736,34.7667,0,בהיר,יבש,קלה
2020,4,5000,תל אביב - יפו,,1040,32.07452,34.78172,0,בהיר,יבש,קלה
2020,10,,,22,,32.81464,35.09051,0,בהיר,יבש,קלה
2020,8,,,864,,32.93514,35.37213,0,בהיר,יבש,קלה
2020,3,5000,תל אביב - יפו,,2309,32.04953,34.77339,0,בהיר,יבש,קלה
2020,6,1200,מודיעין-מכבים-רעות,,149,31.89628,35.0064,0,בהיר,יבש,קשה
